price,discount,selling_proposition,product_name,source_file,category
2.03,-22%,Unknown,"1pc Rechargeable Deep Tissue Muscle Handheld Massage Gun, Suitable For Body, Back And Neck Pain, Ultra-Compact Elegant Design, High-Torque Driven Massager",us-shein-appliances-3987.csv,Appliances
6.48,-20%,Unknown,1pc Portable Hanging Neck Fan,us-shein-appliances-3987.csv,Appliances
1.8,Unknown,400+ sold recently,"1pc Pink Colored Curved Eyelash Curler False Eyelash Auxiliary Makeup Tool For Women, Portable",us-shein-appliances-3987.csv,Appliances
0.88,-72%,5.6k+ sold recently,"1 Mini Portable Handheld Fan With 2 Aa Batteries (Batteries Not Included), Comes With A Lanyard",us-shein-appliances-3987.csv,Appliances
12.06,-40%,Unknown,"Wit Water Flosser,Portable Oral Irrigator With 3 Modes, Nasal Washer, 4 Replaceable Nozzles, Rechargeable Waterproof Tooth Cleaner, For Home And Travel, Removable Large Water Tank",us-shein-appliances-3987.csv,Appliances
2.7,Unknown,Unknown,"1pc Ice Pop Mold, Plastic Ice Cream Mold, Frozen Ice Pop Box, Safe Jelly Mould, Kitchen Utensils, Kitchen Accessories",us-shein-appliances-3987.csv,Appliances
3.5,Unknown,Unknown,"Mini Pocket Bluetooth Thermal Printer, Portable Wireless Inkless Printing Machine For Pictures, Notes, Photos, Journals, DIY, Compatible With IOS And Android Phones",us-shein-appliances-3987.csv,Appliances
4.9,Unknown,Unknown,"1 PC 400ML Classic Ultra-Silent Air Humidifier With Dazzling Coloured Lights,Desktop/Car Humidification",us-shein-appliances-3987.csv,Appliances
4.28,-41%,Unknown,"6 Modes Multi-Functional Sonic Electric Toothbrush, 8/4 Heads Kit, Equipped With 2 Minutes Smart Timer And 30S Area Switch Reminder, Waterproof Usb Rechargeable Oral Cleaner Set For Family Or Travel Use",us-shein-appliances-3987.csv,Appliances
2.76,-5%,Unknown,"1pc AA Battery Operated Portable Handheld Mini Fan With Strap, Simple Design, 1-Speed For Outdoor Use",us-shein-appliances-3987.csv,Appliances
4.29,-35%,Unknown,"Teckwe Epilator,2*AAA Batteries Portability Removal Device,Cordless Epilators Hair Removal For Women,Hair Removal Cordless Electric Trimmer For Legs Arms Armpit Bikini,Product Does Not Include Batteries",us-shein-appliances-3987.csv,Appliances
2.5,Unknown,50+ sold recently,"1pc Portable Pink Electric Eyelash Curler, USB Rechargeable Eye Makeup Tool - Effortlessly Curl Your Eyelashes",us-shein-appliances-3987.csv,Appliances
2.7,Unknown,30+ sold recently,"Reusable Magic Hair Eraser, Painless Exfoliator Removal For Back, Arms, Legs, Portable Epilator Device For Women And Men, Washable Body Hair Trimmer, Efficient Bikini Line Shaver",us-shein-appliances-3987.csv,Appliances
4.8,Unknown,Unknown,"Vacuum Sealer For 110V-220V, Food Protector Vacuum Sealer Machine, Automatic Food Vacuum Sealer For Food Preservation Sealing Packing System, For Fresh Food And Food Storage Lightning Deals",us-shein-appliances-3987.csv,Appliances
1.49,-55%,60+ sold recently,"3pcs/Set Laundry Drying Balls, 6cm Reusable Household Washing Machine Balls, Laundry Appliance Accessories",us-shein-appliances-3987.csv,Appliances
3.07,-63%,Unknown,"1pc 900ml Manual Food Processor Garlic Vegetable Chopper, Suitable For Chopping Garlic, Ginger, Chili, Onion And Other Foods",us-shein-appliances-3987.csv,Appliances
1.86,-28%,Unknown,"1pc White Half-Wrap Fan Dustproof Cover For Home Use, Waterproof, Moisture-Proof, Dustproof Fan Protective Cover, Easy To Put On And Take Off, Washable And Reusable, Keeping The Fan Clean",us-shein-appliances-3987.csv,Appliances
24.1,Unknown,Unknown,"Ear Wax Removal Tool Camera,Ear Cleaner With Camera,Ear Wax Cleaner With Camera,7 Ear Pick,10pcs Bebird Replacement Tips,1080p Ear Camera,6 Led Lights,Earwax Removal Kit For Daily Ear Canal Cleaning",us-shein-appliances-3987.csv,Appliances
0.75,-53%,Unknown,"1pc Blue Lint Remover, Wool Sweater Shaver, Clothes Fuzz Ball Trimmer For Home Use",us-shein-appliances-3987.csv,Appliances
14.6,Unknown,30+ sold recently,"1pc Four Layer Slide Egg Storage Box, Refrigerator Side Door Storage Box, Rolling Egg  Egg Rack Holder, Automatic Rolling Egg Box",us-shein-appliances-3987.csv,Appliances
11.25,-11%,Unknown,"New 2 In 1 Mini Irons, Mini Travel Iron, Portable Ironing Clothes Foldable Rotating Handheld Irons, Travel Mini Irons Wrinkle Remover Ironing Machine",us-shein-appliances-3987.csv,Appliances
2.15,-50%,100+ sold recently,Mini Portable USB Charging Sealing Machine For Snack Plastic Bags - Easy Manual Sealing Clip With Fast Charging Benefits,us-shein-appliances-3987.csv,Appliances
